Rank,Model,Precision,Recall,F1 Score,Accuracy,ROC AUC,# Labels
1,DeBERTa-v3-large + DoRA (Ours),0.8983364140480592,0.9176332115445919,0.9078822872946942,0.9786680205125464,0.9997626987495265,505
2,mDeBERTa-v3-base (ai4privacy 200k),0.37002738851156336,0.3693877050587283,0.36970727008338294,0.8415596937861455,0.9740602576052357,111
3,DistilBERT (ai4privacy 65k),0.3422247057750205,0.3679286922831711,0.3546115214180207,0.7705632538920656,0.9887756047087521,116
4,Piiranha v1,0.5995674116798846,0.1529388685907653,0.2437113522912657,0.764100391121167,0.965513204887412,18
5,DeBERTa PII (lakshyakh93),0.10034633202896595,0.16412054633285109,0.12454410122813547,0.7228623312200245,0.987866997108322,116
